epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4916,1.24692,2.62309,2.60532,0.58192,0.86508,0.64249,0.55351,0.48626,2.05835,1.06496,0.000473411,0.000473411,0.000473411
2,103.612,0.26761,0.95625,1.03062,0.78592,0.86538,0.90442,0.89536,0.25064,0.82754,0.62708,0.00085572,0.00085572,0.00085572
3,150.735,0.189,0.78846,0.94091,0.72359,0.75,0.77944,0.77944,0.34066,0.97303,0.74364,0.00114371,0.00114371,0.00114371
4,198.365,0.16135,0.73518,0.92447,0.75902,0.88585,0.87321,0.87321,0.15636,1.14891,0.50769,0.00100459,0.00100459,0.00100459
5,245.232,0.1297,0.66001,0.89962,0.77103,1,0.91979,0.91979,0.16875,1.08137,0.52232,0.000863116,0.000863116,0.000863116
6,291.868,0.11238,0.62654,0.88924,0.57293,0.9375,0.73816,0.73816,0.15523,0.97235,0.51889,0.000721645,0.000721645,0.000721645
7,337.874,0.09322,0.59475,0.88161,0.6555,0.9375,0.89703,0.89703,0.12438,1.01073,0.4809,0.000580174,0.000580174,0.000580174
8,383.556,0.08365,0.57233,0.87296,0.72571,1,0.88328,0.88328,0.14986,0.94423,0.50855,0.000438703,0.000438703,0.000438703
9,429.446,0.07013,0.54498,0.86913,0.88613,1,0.95333,0.95333,0.11924,0.71281,0.47761,0.000297232,0.000297232,0.000297232
10,475.98,0.06052,0.51279,0.86366,0.55769,1,0.84738,0.84738,0.12609,1.61793,0.494,0.000155761,0.000155761,0.000155761
